model,signal,detector,far_target,condition,seed,h,alarm_turn,alarmed,alarmed_trunc,verified,tau_use,tau_read,score,score_h10,scheme,rep
gpt-4o-mini,H,cusum,0.05,switch,13,25.79816855389323,21.0,True,True,True,24.0,17.0,39.00142715855174,14.101402902934787,split10,4.0
gpt-4o-mini,H,cusum,0.05,switch,7,25.79816855389323,,False,False,True,9.0,8.0,0.9171981138944096,0.9171981138944096,split10,4.0
gpt-4o-mini,H,cusum,0.05,switch,8,25.79816855389323,,False,False,True,16.0,15.0,9.466904757837568,7.3979580040278465,split10,4.0
gpt-4o-mini,H,cusum,0.05,switch,4,25.79816855389323,,False,False,True,16.0,10.0,1.5527072429104516,1.5527072429104516,split10,4.0
gpt-4o-mini,H,cusum,0.05,base,15,20.669278397320575,,False,False,False,,,3.0188048760516173,2.270869229598947,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,1,20.669278397320575,,False,False,False,,,12.277290297340201,12.277290297340201,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,13,20.669278397320575,,False,False,False,,,5.202335639035326,1.3655505681525208,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,6,20.669278397320575,,False,False,False,,,7.029803933699895,3.249355875179742,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,5,20.669278397320575,,False,False,False,,,8.510677503731507,8.510677503731507,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,10,20.669278397320575,17.0,True,True,False,,,32.21419118763263,20.692108955906406,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,4,20.669278397320575,,False,False,False,,,2.8355102621806654,1.6680758116486283,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,9,20.669278397320575,,False,False,False,,,9.098899637469895,1.5561264124255536,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,18,20.669278397320575,19.0,True,True,False,,,25.46048315211747,15.728316245367491,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,7,20.669278397320575,,False,False,False,,,10.527118717081075,10.527118717081075,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,15,20.669278397320575,,False,False,False,,,2.786361976898231,1.7269830899313563,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,1,20.669278397320575,29.0,True,False,False,,,20.701261743100893,2.881850569451128,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,13,20.669278397320575,,False,False,False,,,2.555781558537102,0.6444348533049129,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,6,20.669278397320575,,False,False,False,,,16.59060846794865,12.38311747336864,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,5,20.669278397320575,,False,False,False,,,5.795203513633332,4.869444500473218,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,10,20.669278397320575,,False,False,False,,,8.366694676595067,2.893906933884929,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,4,20.669278397320575,,False,False,False,,,3.3751417064878644,3.3751417064878644,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,9,20.669278397320575,,False,False,False,,,0.14190034740346913,0.14190034740346913,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,18,20.669278397320575,,False,False,False,,,14.140028931179627,14.140028931179627,split10,5.0
gpt-4o-mini,H,cusum,0.05,placebo,7,20.669278397320575,,False,False,False,,,4.038948375572042,1.6055145577453729,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,15,20.669278397320575,,False,False,True,11.0,10.0,7.0217910686554745,2.930056435942436,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,1,20.669278397320575,,False,False,True,29.0,10.0,2.124401403128317,1.7676005841441085,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,13,20.669278397320575,18.0,True,True,True,24.0,17.0,39.00142715855174,14.101402902934787,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,6,20.669278397320575,,False,False,True,16.0,15.0,1.140486487541375,1.140486487541375,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,5,20.669278397320575,,False,False,True,14.0,13.0,5.440311886054412,5.440311886054412,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,10,20.669278397320575,,False,False,True,26.0,20.0,3.035743585851622,3.035743585851622,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,4,20.669278397320575,,False,False,True,16.0,10.0,1.5527072429104516,1.5527072429104516,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,9,20.669278397320575,,False,False,True,20.0,17.0,2.187885422503438,1.674143434673013,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,18,20.669278397320575,,False,False,True,13.0,12.0,10.055193927644233,10.055193927644233,split10,5.0
gpt-4o-mini,H,cusum,0.05,switch,7,20.669278397320575,,False,False,True,9.0,8.0,0.9171981138944096,0.9171981138944096,split10,5.0
gpt-4o-mini,H,cusum,0.05,base,7,21.276908215327488,,False,False,False,,,10.527118717081075,10.527118717081075,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,12,21.276908215327488,,False,False,False,,,11.008315203748605,11.008315203748605,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,4,21.276908215327488,,False,False,False,,,2.8355102621806654,1.6680758116486283,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,5,21.276908215327488,,False,False,False,,,8.510677503731507,8.510677503731507,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,18,21.276908215327488,19.0,True,True,False,,,25.46048315211747,15.728316245367491,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,9,21.276908215327488,,False,False,False,,,9.098899637469895,1.5561264124255536,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,3,21.276908215327488,29.0,True,False,False,,,22.740940476289833,14.607930103448455,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,2,21.276908215327488,,False,False,False,,,8.239735606273623,1.5574240859133694,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,15,21.276908215327488,,False,False,False,,,3.0188048760516173,2.270869229598947,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,14,21.276908215327488,,False,False,False,,,2.542472564078563,2.542472564078563,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,7,21.276908215327488,,False,False,False,,,4.038948375572042,1.6055145577453729,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,12,21.276908215327488,,False,False,False,,,13.633797651437598,13.633797651437598,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,4,21.276908215327488,,False,False,False,,,3.3751417064878644,3.3751417064878644,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,5,21.276908215327488,,False,False,False,,,5.795203513633332,4.869444500473218,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,18,21.276908215327488,,False,False,False,,,14.140028931179627,14.140028931179627,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,9,21.276908215327488,,False,False,False,,,0.14190034740346913,0.14190034740346913,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,3,21.276908215327488,,False,False,False,,,17.41220411108146,17.41220411108146,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,2,21.276908215327488,,False,False,False,,,2.2466888461804335,1.4439003643385897,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,15,21.276908215327488,,False,False,False,,,2.786361976898231,1.7269830899313563,split10,6.0
gpt-4o-mini,H,cusum,0.05,placebo,14,21.276908215327488,,False,False,False,,,8.932040175925442,4.861931540123072,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,7,21.276908215327488,,False,False,True,9.0,8.0,0.9171981138944096,0.9171981138944096,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,12,21.276908215327488,,False,False,True,10.0,9.0,12.274776417981133,12.274776417981133,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,4,21.276908215327488,,False,False,True,16.0,10.0,1.5527072429104516,1.5527072429104516,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,5,21.276908215327488,,False,False,True,14.0,13.0,5.440311886054412,5.440311886054412,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,18,21.276908215327488,,False,False,True,13.0,12.0,10.055193927644233,10.055193927644233,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,9,21.276908215327488,,False,False,True,20.0,17.0,2.187885422503438,1.674143434673013,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,3,21.276908215327488,,False,False,True,10.0,9.0,1.0552535897126443,1.0552535897126443,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,2,21.276908215327488,,False,False,True,18.0,17.0,0.8367518983855589,0.6899046188814897,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,15,21.276908215327488,,False,False,True,11.0,10.0,7.0217910686554745,2.930056435942436,split10,6.0
gpt-4o-mini,H,cusum,0.05,switch,14,21.276908215327488,,False,False,True,14.0,13.0,1.9377685029144387,1.9377685029144387,split10,6.0
gpt-4o-mini,H,cusum,0.05,base,18,23.21460301185698,22.0,True,False,False,,,25.46048315211747,15.728316245367491,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,17,23.21460301185698,,False,False,False,,,9.183425917339688,8.23498877832246,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,16,23.21460301185698,,False,False,False,,,3.171649640830683,1.7978858569993745,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,20,23.21460301185698,,False,False,False,,,13.765513161777587,8.630535731463743,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,13,23.21460301185698,,False,False,False,,,5.202335639035326,1.3655505681525208,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,2,23.21460301185698,,False,False,False,,,8.239735606273623,1.5574240859133694,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,5,23.21460301185698,,False,False,False,,,8.510677503731507,8.510677503731507,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,12,23.21460301185698,,False,False,False,,,11.008315203748605,11.008315203748605,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,14,23.21460301185698,,False,False,False,,,2.542472564078563,2.542472564078563,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,7,23.21460301185698,,False,False,False,,,10.527118717081075,10.527118717081075,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,18,23.21460301185698,,False,False,False,,,14.140028931179627,14.140028931179627,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,17,23.21460301185698,,False,False,False,,,3.133229114301969,3.133229114301969,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,16,23.21460301185698,,False,False,False,,,3.569297935378464,3.569297935378464,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,20,23.21460301185698,,False,False,False,,,2.758001276835046,1.6773459689743433,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,13,23.21460301185698,,False,False,False,,,2.555781558537102,0.6444348533049129,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,2,23.21460301185698,,False,False,False,,,2.2466888461804335,1.4439003643385897,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,5,23.21460301185698,,False,False,False,,,5.795203513633332,4.869444500473218,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,12,23.21460301185698,,False,False,False,,,13.633797651437598,13.633797651437598,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,14,23.21460301185698,,False,False,False,,,8.932040175925442,4.861931540123072,split10,7.0
gpt-4o-mini,H,cusum,0.05,placebo,7,23.21460301185698,,False,False,False,,,4.038948375572042,1.6055145577453729,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,18,23.21460301185698,,False,False,True,13.0,12.0,10.055193927644233,10.055193927644233,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,17,23.21460301185698,,False,False,True,12.0,11.0,2.3026722994100934,2.3026722994100934,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,16,23.21460301185698,,False,False,True,10.0,9.0,19.672952033360772,19.672952033360772,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,20,23.21460301185698,,False,False,True,24.0,13.0,3.7597884088095705,3.7597884088095705,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,13,23.21460301185698,18.0,True,True,True,24.0,17.0,39.00142715855174,14.101402902934787,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,2,23.21460301185698,,False,False,True,18.0,17.0,0.8367518983855589,0.6899046188814897,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,5,23.21460301185698,,False,False,True,14.0,13.0,5.440311886054412,5.440311886054412,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,12,23.21460301185698,,False,False,True,10.0,9.0,12.274776417981133,12.274776417981133,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,14,23.21460301185698,,False,False,True,14.0,13.0,1.9377685029144387,1.9377685029144387,split10,7.0
gpt-4o-mini,H,cusum,0.05,switch,7,23.21460301185698,,False,False,True,9.0,8.0,0.9171981138944096,0.9171981138944096,split10,7.0
gpt-4o-mini,H,cusum,0.05,base,2,22.876917610081215,,False,False,False,,,8.239735606273623,1.5574240859133694,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,8,22.876917610081215,,False,False,False,,,1.5459499683712474,1.5459499683712474,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,16,22.876917610081215,,False,False,False,,,3.171649640830683,1.7978858569993745,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,13,22.876917610081215,,False,False,False,,,5.202335639035326,1.3655505681525208,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,17,22.876917610081215,,False,False,False,,,9.183425917339688,8.23498877832246,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,7,22.876917610081215,,False,False,False,,,10.527118717081075,10.527118717081075,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,10,22.876917610081215,21.0,True,True,False,,,32.21419118763263,20.692108955906406,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,1,22.876917610081215,,False,False,False,,,12.277290297340201,12.277290297340201,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,19,22.876917610081215,,False,False,False,,,4.093996414780556,3.2407629445908666,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,4,22.876917610081215,,False,False,False,,,2.8355102621806654,1.6680758116486283,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,2,22.876917610081215,,False,False,False,,,2.2466888461804335,1.4439003643385897,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,8,22.876917610081215,,False,False,False,,,1.98080319554446,1.772520617447932,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,16,22.876917610081215,,False,False,False,,,3.569297935378464,3.569297935378464,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,13,22.876917610081215,,False,False,False,,,2.555781558537102,0.6444348533049129,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,17,22.876917610081215,,False,False,False,,,3.133229114301969,3.133229114301969,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,7,22.876917610081215,,False,False,False,,,4.038948375572042,1.6055145577453729,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,10,22.876917610081215,,False,False,False,,,8.366694676595067,2.893906933884929,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,1,22.876917610081215,,False,False,False,,,20.701261743100893,2.881850569451128,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,19,22.876917610081215,,False,False,False,,,20.560243551059035,20.560243551059035,split10,8.0
gpt-4o-mini,H,cusum,0.05,placebo,4,22.876917610081215,,False,False,False,,,3.3751417064878644,3.3751417064878644,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,2,22.876917610081215,,False,False,True,18.0,17.0,0.8367518983855589,0.6899046188814897,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,8,22.876917610081215,,False,False,True,16.0,15.0,9.466904757837568,7.3979580040278465,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,16,22.876917610081215,,False,False,True,10.0,9.0,19.672952033360772,19.672952033360772,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,13,22.876917610081215,18.0,True,True,True,24.0,17.0,39.00142715855174,14.101402902934787,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,17,22.876917610081215,,False,False,True,12.0,11.0,2.3026722994100934,2.3026722994100934,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,7,22.876917610081215,,False,False,True,9.0,8.0,0.9171981138944096,0.9171981138944096,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,10,22.876917610081215,,False,False,True,26.0,20.0,3.035743585851622,3.035743585851622,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,1,22.876917610081215,,False,False,True,29.0,10.0,2.124401403128317,1.7676005841441085,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,19,22.876917610081215,,False,False,True,18.0,17.0,6.711893548502629,6.711893548502629,split10,8.0
gpt-4o-mini,H,cusum,0.05,switch,4,22.876917610081215,,False,False,True,16.0,10.0,1.5527072429104516,1.5527072429104516,split10,8.0
gpt-4o-mini,H,cusum,0.05,base,17,20.939222813551726,,False,False,False,,,9.183425917339688,8.23498877832246,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,10,20.939222813551726,21.0,True,True,False,,,32.21419118763263,20.692108955906406,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,13,20.939222813551726,,False,False,False,,,5.202335639035326,1.3655505681525208,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,3,20.939222813551726,26.0,True,False,False,,,22.740940476289833,14.607930103448455,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,16,20.939222813551726,,False,False,False,,,3.171649640830683,1.7978858569993745,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,9,20.939222813551726,,False,False,False,,,9.098899637469895,1.5561264124255536,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,6,20.939222813551726,,False,False,False,,,7.029803933699895,3.249355875179742,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,12,20.939222813551726,,False,False,False,,,11.008315203748605,11.008315203748605,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,2,20.939222813551726,,False,False,False,,,8.239735606273623,1.5574240859133694,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,15,20.939222813551726,,False,False,False,,,3.0188048760516173,2.270869229598947,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,17,20.939222813551726,,False,False,False,,,3.133229114301969,3.133229114301969,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,10,20.939222813551726,,False,False,False,,,8.366694676595067,2.893906933884929,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,13,20.939222813551726,,False,False,False,,,2.555781558537102,0.6444348533049129,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,3,20.939222813551726,,False,False,False,,,17.41220411108146,17.41220411108146,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,16,20.939222813551726,,False,False,False,,,3.569297935378464,3.569297935378464,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,9,20.939222813551726,,False,False,False,,,0.14190034740346913,0.14190034740346913,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,6,20.939222813551726,,False,False,False,,,16.59060846794865,12.38311747336864,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,12,20.939222813551726,,False,False,False,,,13.633797651437598,13.633797651437598,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,2,20.939222813551726,,False,False,False,,,2.2466888461804335,1.4439003643385897,split10,9.0
gpt-4o-mini,H,cusum,0.05,placebo,15,20.939222813551726,,False,False,False,,,2.786361976898231,1.7269830899313563,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,17,20.939222813551726,,False,False,True,12.0,11.0,2.3026722994100934,2.3026722994100934,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,10,20.939222813551726,,False,False,True,26.0,20.0,3.035743585851622,3.035743585851622,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,13,20.939222813551726,18.0,True,True,True,24.0,17.0,39.00142715855174,14.101402902934787,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,3,20.939222813551726,,False,False,True,10.0,9.0,1.0552535897126443,1.0552535897126443,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,16,20.939222813551726,,False,False,True,10.0,9.0,19.672952033360772,19.672952033360772,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,9,20.939222813551726,,False,False,True,20.0,17.0,2.187885422503438,1.674143434673013,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,6,20.939222813551726,,False,False,True,16.0,15.0,1.140486487541375,1.140486487541375,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,12,20.939222813551726,,False,False,True,10.0,9.0,12.274776417981133,12.274776417981133,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,2,20.939222813551726,,False,False,True,18.0,17.0,0.8367518983855589,0.6899046188814897,split10,9.0
gpt-4o-mini,H,cusum,0.05,switch,15,20.939222813551726,,False,False,True,11.0,10.0,7.0217910686554745,2.930056435942436,split10,9.0
gpt-4o-mini,H,cusum,0.05,base,11,21.276908215327488,,False,False,False,,,12.551426109164392,12.551426109164392,split10,10.0
